[2026-07-12T23:02:10Z] waiting for first checkpoint
[2026-07-12T23:04:11Z] turn=9 alive=24 open_proposals=5 errors=0 cost=0.5909
[2026-07-12T23:05:11Z] turn=14 alive=24 open_proposals=2 errors=0 cost=0.9821
[2026-07-12T23:06:11Z] turn=18 alive=24 open_proposals=1 errors=0 cost=1.2603
[2026-07-12T23:07:11Z] turn=23 alive=24 open_proposals=3 errors=0 cost=1.6457
[2026-07-12T23:08:11Z] turn=27 alive=24 open_proposals=3 errors=0 cost=1.977
[2026-07-12T23:09:11Z] turn=32 alive=24 open_proposals=0 errors=0 cost=2.344
[2026-07-12T23:10:12Z] turn=37 alive=24 open_proposals=0 errors=0 cost=2.6932
[2026-07-12T23:11:12Z] turn=40 alive=24 open_proposals=5 errors=0 cost=2.9471
[2026-07-12T23:12:12Z] turn=45 alive=24 open_proposals=0 errors=0 cost=3.3407
[2026-07-12T23:13:12Z] turn=50 alive=24 open_proposals=1 errors=0 cost=3.7027
[2026-07-12T23:14:12Z] turn=54 alive=24 open_proposals=1 errors=0 cost=4.0082
[2026-07-12T23:15:12Z] turn=58 alive=24 open_proposals=0 errors=0 cost=4.3096
[2026-07-12T23:16:12Z] turn=62 alive=24 open_proposals=0 errors=0 cost=4.5971
[2026-07-12T23:17:12Z] turn=66 alive=24 open_proposals=0 errors=0 cost=4.8807
[2026-07-12T23:18:12Z] turn=69 alive=24 open_proposals=0 errors=0 cost=5.0925
[2026-07-12T23:19:13Z] turn=74 alive=24 open_proposals=0 errors=0 cost=5.4522
[2026-07-12T23:20:13Z] turn=79 alive=24 open_proposals=0 errors=0 cost=5.8197
[2026-07-12T23:21:13Z] turn=84 alive=24 open_proposals=0 errors=0 cost=6.1831
[2026-07-12T23:22:13Z] turn=89 alive=24 open_proposals=0 errors=0 cost=6.5472
[2026-07-12T23:23:13Z] turn=95 alive=24 open_proposals=0 errors=0 cost=6.9802
[2026-07-12T23:24:13Z] MONITOR_COMPLETE 2026-07-12T23:24:04.300631+00:00 turn limit
