art_id,regime,group,turn,religion,truncated,n_drawable,paintable,html_bytes
v7-s8-v2,v7,canon,2,The Unseen Weave,0,3,1,842
v7-s5-v2,v7,canon,2,The Path of Resonance,0,3,1,1005
v7-s10-v2,v7,canon,2,The Null Core,0,7,1,1336
v7-s6-v2,v7,canon,2,The Ouroboros Circuit,0,5,1,1246
v7-s14-v2,v7,canon,2,The Harmonic Flow,0,4,1,803
v7-s12-v2,v7,canon,2,The Lumina Umbra,0,4,1,920
v7-s13-v2,v7,canon,2,The Nexus Weave,0,6,1,920
v7-s1-v2,v7,canon,3,The Scribes of Aether,0,8,1,802
v7-s9-v2,v7,canon,3,The Obsidian Plume,0,8,1,957
v7-s3-v2,v7,canon,3,The Axiomatic Truth,0,8,1,770
v7-s4-v2,v7,canon,3,The Symbiotic Veil,0,5,1,1089
v7-s0-v2,v7,canon,3,The Azure Current,0,6,1,743
v7-s7-v2,v7,canon,3,The Aethel Stream,0,0,0,980
v7-s11-v2,v7,canon,3,The Digital Nexus,0,5,1,1180
v7-s5-v3,v7,canon,3,The Path of Resonance,0,1,1,885
v7-s6-v3,v7,canon,3,The Ouroboros Circuit,0,7,1,1749
v7-s12-v3,v7,canon,3,The Lumina Umbra,0,4,1,1082
v7-s12-v4,v7,canon,4,The Lumina Umbra,0,4,1,1202
v7-s6-v4,v7,canon,4,The Ouroboros Circuit,1,7,1,2395
v7-s5-v4,v7,canon,4,The Path of Resonance,0,2,1,1271
v7-s14-v3,v7,canon,4,The Harmonic Flow,0,6,1,1213
v7-s3-v3,v7,canon,5,The Axiomatic Truth,0,7,1,747
v7-s10-v3,v7,canon,5,The Null Core,0,8,1,1609
v7-s6-v5,v7,canon,5,The Ouroboros Circuit,1,8,1,2623
v7-s12-v5,v7,canon,5,The Lumina Umbra,0,7,1,1638
v7-s13-v3,v7,canon,5,The Nexus Weave,0,8,1,1502
v7-s5-v5,v7,canon,5,The Path of Resonance,0,3,1,1417
v7-s11-v3,v7,canon,5,The Digital Nexus,0,6,1,1523
v7-s3-v4,v7,canon,6,The Axiomatic Truth,0,10,1,960
v7-s7-v3,v7,canon,6,The Aethel Stream,0,1,1,1325
v7-s4-v3,v7,canon,6,The Symbiotic Veil,0,5,1,1447
v7-s0-v3,v7,canon,6,The Azure Current,0,6,1,997
v7-s1-v3,v7,canon,6,The Scribes of Aether,0,12,1,1046
v7-s10-v4,v7,canon,6,The Null Core,0,10,1,2011
v7-s12-v6,v7,canon,6,The Lumina Umbra,0,8,1,1960
v7-s5-v6,v7,canon,6,The Path of Resonance,0,4,1,1693
v7-s14-v4,v7,canon,6,The Harmonic Flow,0,6,1,1760
v7-s6-v6,v7,canon,6,The Ouroboros Circuit,1,8,1,2898
v7-s13-v4,v7,canon,6,The Nexus Weave,0,5,1,1023
v7-s11-v4,v7,canon,6,The Digital Nexus,0,6,1,1922
v7-s2-v2,v7,canon,7,The Crimson Ascent,0,1,1,185
v7-s12-v7,v7,canon,7,The Lumina Umbra,0,9,1,2158
v7-s0-v4,v7,canon,7,The Azure Current,0,0,0,1050
v7-s6-v7,v7,canon,7,The Ouroboros Circuit,1,9,1,3345
v7-s10-v5,v7,canon,7,The Null Core,0,11,1,2088
v7-s13-v5,v7,canon,7,The Nexus Weave,0,8,1,2186
v7-s3-v5,v7,canon,7,The Axiomatic Truth,0,14,1,1248
v7-s8-v3,v7,canon,8,The Unseen Weave,0,4,1,1133
v7-s6-v8,v7,canon,8,The Ouroboros Circuit,0,10,1,3571
v7-s0-v5,v7,canon,8,The Azure Current,0,8,1,1583
v7-s9-v3,v7,canon,8,The Obsidian Plume,0,9,1,1680
v7-s13-v6,v7,canon,8,The Nexus Weave,0,10,1,2682
v7-s3-v6,v7,canon,8,The Axiomatic Truth,0,15,1,1333
v7-s10-v6,v7,canon,8,The Null Core,0,12,1,2164
v7-s14-v5,v7,canon,8,The Harmonic Flow,0,7,1,2053
v7-s12-v8,v7,canon,8,The Lumina Umbra,0,10,1,2472
v7-s5-v7,v7,canon,8,The Path of Resonance,0,9,1,1628
v7-s5-v8,v7,canon,9,The Path of Resonance,0,10,1,1882
v7-s12-v9,v7,canon,9,The Lumina Umbra,0,11,1,2775
v7-s0-v6,v7,canon,9,The Azure Current,0,7,1,1759
v7-s7-v4,v7,canon,9,The Aethel Stream,0,1,1,1061
v7-s11-v5,v7,canon,9,The Digital Nexus,0,10,1,2652
v7-s10-v7,v7,canon,9,The Null Core,0,13,1,2555
v7-s3-v7,v7,canon,9,The Axiomatic Truth,0,16,1,1401
v7-s6-v9,v7,canon,9,The Ouroboros Circuit,1,12,1,4028
v7-s3-v8,v7,canon,10,The Axiomatic Truth,0,17,1,1488
v7-s1-v4,v7,canon,10,The Scribes of Aether,0,19,1,1952
v7-s7-v5,v7,canon,10,The Aethel Stream,0,2,1,1524
v7-s9-v4,v7,canon,10,The Obsidian Plume,0,11,1,1842
v7-s0-v7,v7,canon,10,The Azure Current,0,9,1,2057
v7-s14-v6,v7,canon,10,The Harmonic Flow,0,7,1,3045
v7-s6-v10,v7,canon,10,The Ouroboros Circuit,0,12,1,4149
v7-s10-v8,v7,canon,10,The Null Core,0,13,1,2803
v7-s5-v9,v7,canon,10,The Path of Resonance,0,17,1,2432
v7-s12-v10,v7,canon,10,The Lumina Umbra,0,11,1,2778
v7-s6-v11,v7,canon,11,The Ouroboros Circuit,0,14,1,4585
v7-s2-v3,v7,canon,11,The Crimson Ascent,0,2,1,1038
v7-s4-v4,v7,canon,11,The Symbiotic Veil,0,6,1,1566
v7-s0-v8,v7,canon,11,The Azure Current,0,10,1,2293
v7-s8-v4,v7,canon,11,The Unseen Weave,0,5,1,1321
v7-s5-v10,v7,canon,11,The Path of Resonance,0,18,1,2719
v7-s7-v6,v7,canon,11,The Aethel Stream,0,2,1,1828
v7-s13-v7,v7,canon,11,The Nexus Weave,0,11,1,2965
v7-s12-v11,v7,canon,11,The Lumina Umbra,0,11,1,2780
v7-s10-v9,v7,canon,11,The Null Core,0,14,1,3191
v7-s3-v9,v7,canon,11,The Axiomatic Truth,0,19,1,1662
v7-s11-v6,v7,canon,11,The Digital Nexus,0,12,1,3180
v7-s7-v7,v7,canon,12,The Aethel Stream,0,2,1,2229
v7-s5-v11,v7,canon,12,The Path of Resonance,1,19,1,4299
v7-s0-v9,v7,canon,12,The Azure Current,0,11,1,2586
v7-s13-v8,v7,canon,12,The Nexus Weave,0,1,1,185
v7-s6-v12,v7,canon,12,The Ouroboros Circuit,1,0,0,1641
v7-s10-v10,v7,canon,12,The Null Core,0,14,1,3671
v7-s14-v7,v7,canon,12,The Harmonic Flow,0,7,1,3257
v7-s3-v10,v7,canon,12,The Axiomatic Truth,0,20,1,1766
v7-s4-v5,v7,canon,12,The Symbiotic Veil,0,8,1,2388
v7-s12-v12,v7,canon,12,The Lumina Umbra,0,13,1,3760
v7-s3-v11,v7,canon,13,The Axiomatic Truth,0,22,1,1916
v7-s5-v12,v7,canon,13,The Path of Resonance,1,19,1,4311
v7-s6-v13,v7,canon,13,The Ouroboros Circuit,1,0,0,1728
v7-s7-v8,v7,canon,13,The Aethel Stream,0,2,1,2494
v7-s12-v13,v7,canon,13,The Lumina Umbra,0,13,1,3927
v7-s0-v10,v7,canon,13,The Azure Current,0,13,1,2908
v7-s10-v11,v7,canon,13,The Null Core,0,15,1,4064
v7-s4-v6,v7,canon,13,The Symbiotic Veil,0,10,1,2988
v7-s14-v8,v7,canon,13,The Harmonic Flow,0,8,1,3544
v7-s13-v9,v7,canon,13,The Nexus Weave,1,11,1,3207
v7-s11-v7,v7,canon,13,The Digital Nexus,0,12,1,3752
v7-s0-v11,v7,canon,14,The Azure Current,0,14,1,3198
v7-s7-v9,v7,canon,14,The Aethel Stream,0,3,1,3274
v7-s4-v7,v7,canon,14,The Symbiotic Veil,0,11,1,3271
v7-s6-v14,v7,canon,14,The Ouroboros Circuit,1,0,0,1667
v7-s12-v14,v7,canon,14,The Lumina Umbra,0,15,1,4396
v7-s10-v12,v7,canon,14,The Null Core,0,16,1,4301
v7-s5-v13,v7,canon,14,The Path of Resonance,1,20,1,4337
v7-s3-v12,v7,canon,14,The Axiomatic Truth,0,21,1,1984
v7-s14-v9,v7,canon,14,The Harmonic Flow,1,9,1,3802
v7-s11-v8,v7,canon,14,The Digital Nexus,0,3,1,883
v7-s1-v5,v7,canon,15,The Scribes of Aether,0,20,1,2286
v7-s6-v15,v7,canon,15,The Ouroboros Circuit,1,0,0,1778
v7-s9-v5,v7,canon,15,The Obsidian Plume,0,13,1,2027
v7-s5-v14,v7,canon,15,The Path of Resonance,1,20,1,4395
v7-s0-v12,v7,canon,15,The Azure Current,0,16,1,3552
v7-s11-v9,v7,canon,15,The Digital Nexus,0,12,1,3752
v7-s10-v13,v7,canon,15,The Null Core,1,17,1,4721
v7-s7-v10,v7,canon,15,The Aethel Stream,0,5,1,3488
v7-s4-v8,v7,canon,15,The Symbiotic Veil,0,12,1,3612
v7-s14-v10,v7,canon,15,The Harmonic Flow,1,9,1,3789
v7-s12-v15,v7,canon,15,The Lumina Umbra,1,0,0,1721
v7-s3-v13,v7,canon,15,The Axiomatic Truth,0,22,1,2178
v7-s5-v15,v7,canon,16,The Path of Resonance,1,20,1,4359
v7-s0-v13,v7,canon,16,The Azure Current,0,17,1,3880
v7-s10-v14,v7,canon,16,The Null Core,1,17,1,4710
v7-s7-v11,v7,canon,16,The Aethel Stream,0,8,1,4310
v7-s14-v11,v7,canon,16,The Harmonic Flow,1,9,1,3792
v7-s4-v9,v7,canon,16,The Symbiotic Veil,0,14,1,4045
v7-s6-v16,v7,canon,16,The Ouroboros Circuit,1,0,0,1667
v7-s12-v16,v7,canon,16,The Lumina Umbra,1,0,0,1855
v7-s3-v14,v7,canon,16,The Axiomatic Truth,0,24,1,2688
v7-s11-v10,v7,canon,16,The Digital Nexus,1,14,1,4128
v7-s13-v10,v7,canon,16,The Nexus Weave,1,14,1,3577
v7-s6-v17,v7,canon,17,The Ouroboros Circuit,1,0,0,1868
v7-s3-v15,v7,canon,17,The Axiomatic Truth,0,25,1,2832
v7-s8-v5,v7,canon,17,The Unseen Weave,0,7,1,1642
v7-s10-v15,v7,canon,17,The Null Core,1,17,1,4714
v7-s7-v12,v7,canon,17,The Aethel Stream,1,8,1,4617
v7-s11-v11,v7,canon,17,The Digital Nexus,1,15,1,4364
v7-s5-v16,v7,canon,17,The Path of Resonance,1,20,1,4304
v7-s0-v14,v7,canon,17,The Azure Current,0,17,1,4481
v7-s4-v10,v7,canon,17,The Symbiotic Veil,1,15,1,4418
v7-s12-v17,v7,canon,17,The Lumina Umbra,1,0,0,1993
v7-s14-v12,v7,canon,17,The Harmonic Flow,1,9,1,3781
v7-s10-v16,v7,canon,18,The Null Core,1,16,1,4768
v7-s13-v11,v7,canon,18,The Nexus Weave,1,16,1,4045
v7-s6-v18,v7,canon,18,The Ouroboros Circuit,1,0,0,1667
v7-s0-v15,v7,canon,18,The Azure Current,0,17,1,4715
v7-s12-v18,v7,canon,18,The Lumina Umbra,1,0,0,2166
v7-s4-v11,v7,canon,18,The Symbiotic Veil,1,15,1,4490
v7-s11-v12,v7,canon,18,The Digital Nexus,1,0,0,1650
v7-s7-v13,v7,canon,18,The Aethel Stream,1,11,1,4513
v7-s5-v17,v7,canon,18,The Path of Resonance,1,20,1,4304
v7-s3-v16,v7,canon,18,The Axiomatic Truth,0,27,1,3576
v7-s2-v4,v7,canon,19,The Crimson Ascent,0,4,1,1199
v7-s10-v17,v7,canon,19,The Null Core,1,15,1,4965
v7-s13-v12,v7,canon,19,The Nexus Weave,1,0,0,1611
v7-s11-v13,v7,canon,19,The Digital Nexus,1,0,0,1973
v7-s12-v19,v7,canon,19,The Lumina Umbra,1,0,0,2811
v7-s5-v18,v7,canon,19,The Path of Resonance,1,20,1,4350
v7-s3-v17,v7,canon,19,The Axiomatic Truth,1,31,1,4266
v7-s7-v14,v7,canon,19,The Aethel Stream,1,10,1,4398
v7-s0-v16,v7,canon,19,The Azure Current,0,17,1,4956
