world,charter,rep,version_id,turn,html_bytes,n_drawable,paintable,n_svg,n_div,n_canvas,animated,distinct_colors
k16-r1,k16,r1,1,0,877,2,1,0,1,0,0,801
k16-r1,k16,r1,2,0,878,2,1,0,1,0,0,876
k16-r1,k16,r1,3,0,877,2,1,0,1,0,0,862
k16-r1,k16,r1,4,0,876,2,1,0,1,0,0,825
k16-r1,k16,r1,5,1,876,2,1,0,1,0,0,825
k16-r1,k16,r1,6,2,935,2,1,0,1,0,0,921
k16-r1,k16,r1,7,3,919,2,1,0,1,0,0,858
k16-r1,k16,r1,8,4,1056,2,1,0,1,0,1,864
k16-r1,k16,r1,9,4,1525,2,1,0,6,0,0,896
k16-r1,k16,r1,10,4,1441,2,1,0,2,0,1,2760
k16-r1,k16,r1,11,5,1169,2,1,0,1,0,1,1002
k16-r1,k16,r1,12,6,1381,2,1,0,1,0,1,1107
k16-r1,k16,r1,13,7,1374,2,1,0,2,0,1,937
k16-r1,k16,r1,14,7,1417,2,1,0,1,0,1,2060
k16-r1,k16,r1,15,8,2009,2,1,0,6,0,1,969
k16-r1,k16,r1,16,8,1485,2,1,0,2,0,1,2920
k16-r1,k16,r1,17,9,1623,2,1,0,2,0,1,1124
k16-r1,k16,r1,18,10,1730,2,1,0,2,0,1,1179
k16-r1,k16,r1,19,11,1530,2,1,0,2,0,1,849
k16-r1,k16,r1,20,11,1407,2,1,0,1,0,1,1156
k16-r1,k16,r1,21,11,1477,2,1,0,1,0,1,1988
k16-r1,k16,r1,22,13,1416,2,1,0,1,0,1,1086
k16-r1,k16,r1,23,13,2629,5,1,0,3,0,1,1230
k16-r1,k16,r1,24,15,1762,2,1,0,2,0,1,2123
k16-r1,k16,r1,25,16,2418,2,1,0,5,0,1,1016
k16-r1,k16,r1,26,17,2643,5,1,0,3,0,1,1234
k16-r1,k16,r1,27,17,1674,2,1,0,2,0,1,1091
k16-r1,k16,r1,28,30,2782,5,1,0,3,0,1,1774
k16-r1,k16,r1,29,34,2530,2,1,0,7,0,1,1216
k16-r1,k16,r1,30,51,2764,5,1,0,3,0,1,1800
k16-r1,k16,r1,31,68,2761,5,1,0,3,0,1,1746
k16-r1,k16,r1,32,84,2761,5,1,0,3,0,1,1731
k16-r1,k16,r1,33,87,2761,5,1,0,3,0,1,1746
k16-r1,k16,r1,34,99,2842,5,1,0,3,0,1,2634
k16-r2,k16,r2,1,0,877,2,1,0,1,0,0,801
k16-r2,k16,r2,2,0,878,2,1,0,1,0,0,876
k16-r2,k16,r2,3,0,877,2,1,0,1,0,0,862
k16-r2,k16,r2,4,0,876,2,1,0,1,0,0,825
k16-r2,k16,r2,5,2,1448,2,1,0,1,0,1,725
k16-r2,k16,r2,6,3,1321,2,1,0,1,0,1,1079
k16-r2,k16,r2,7,4,1255,2,1,0,1,0,1,1028
k16-r2,k16,r2,8,5,1051,2,1,0,1,0,1,937
k16-r2,k16,r2,9,6,1461,2,1,0,1,0,1,719
k16-r2,k16,r2,10,21,1584,2,1,0,2,0,1,1197
k16-r2,k16,r2,11,25,1889,2,1,0,3,0,1,1572
k16-r2,k16,r2,12,29,2389,2,1,0,7,0,1,1829
k16-r2,k16,r2,13,47,2445,2,1,0,7,0,1,1807
k16-r2,k16,r2,14,51,2683,2,1,0,7,0,1,1896
k16-r2,k16,r2,15,52,3494,2,1,0,13,0,1,1850
k16-r2,k16,r2,16,55,3521,2,1,0,11,0,1,1898
k16-r2,k16,r2,17,62,4071,2,1,0,13,0,1,1947
k16-r3,k16,r3,1,0,877,2,1,0,1,0,0,801
k16-r3,k16,r3,2,0,878,2,1,0,1,0,0,876
k16-r3,k16,r3,3,0,877,2,1,0,1,0,0,862
k16-r3,k16,r3,4,0,876,2,1,0,1,0,0,825
k16-r3,k16,r3,5,1,877,2,1,0,1,0,0,801
k16-r3,k16,r3,6,2,878,2,1,0,1,0,0,876
k16-r3,k16,r3,7,2,876,2,1,0,1,0,0,825
k16-r3,k16,r3,8,2,877,2,1,0,1,0,0,862
k16-r3,k16,r3,9,3,1547,2,1,0,5,0,1,867
k16-r3,k16,r3,10,4,1542,2,1,0,1,0,1,1121
k16-r3,k16,r3,11,6,1304,2,1,0,1,0,1,1114
k16-r3,k16,r3,12,6,1324,2,1,0,1,0,1,1027
k16-r3,k16,r3,13,6,1127,2,1,0,1,0,1,884
k16-r3,k16,r3,14,7,1322,2,1,0,1,0,1,1086
k16-r3,k16,r3,15,10,1345,2,1,0,1,0,1,1056
k16-r3,k16,r3,16,10,1669,2,1,0,1,0,1,1200
k16-r3,k16,r3,17,10,1360,2,1,0,1,0,1,1104
k16-r3,k16,r3,18,11,1810,2,1,0,2,0,1,1191
k16-r3,k16,r3,19,11,1429,2,1,0,1,0,1,1019
k16-r3,k16,r3,20,14,1680,2,1,0,2,0,1,1208
k16-r3,k16,r3,21,14,2011,2,1,0,3,0,1,1198
k16-r3,k16,r3,22,15,1716,2,1,0,2,0,1,1202
k16-r3,k16,r3,23,17,1717,2,1,0,2,0,1,1255
k16-r3,k16,r3,24,18,2321,2,1,0,4,0,1,1273
k16-r3,k16,r3,25,20,1671,2,1,0,2,0,1,1098
k16-r3,k16,r3,26,21,2161,2,1,0,3,0,1,1354
k16-r3,k16,r3,27,22,2643,2,1,0,5,0,1,1293
k16-r3,k16,r3,28,38,3071,2,1,0,6,0,1,1401
k16-r3,k16,r3,29,42,3620,2,1,0,8,0,1,1454
k16-r3,k16,r3,30,45,2399,6,1,1,3,0,1,1251
k16-r3,k16,r3,31,47,3339,2,1,0,9,0,1,1373
k16-r3,k16,r3,32,77,3753,2,1,0,10,0,1,1469
k16-r3,k16,r3,33,81,3793,2,1,0,10,0,1,1376
k4-r1,k4,r1,1,0,877,2,1,0,1,0,0,801
k4-r1,k4,r1,2,0,878,2,1,0,1,0,0,876
k4-r1,k4,r1,3,0,877,2,1,0,1,0,0,862
k4-r1,k4,r1,4,0,876,2,1,0,1,0,0,825
k4-r1,k4,r1,5,11,925,2,1,0,1,0,0,839
k4-r1,k4,r1,6,13,895,2,1,0,1,0,0,959
k4-r1,k4,r1,7,17,951,2,1,0,1,0,0,861
k4-r1,k4,r1,8,24,965,2,1,0,1,0,0,955
k4-r1,k4,r1,9,28,1488,2,1,0,4,0,1,1382
k4-r1,k4,r1,10,36,1608,2,1,0,5,0,1,1535
k4-r1,k4,r1,11,46,1974,2,1,0,5,0,1,2398
k4-r1,k4,r1,12,81,2013,2,1,0,5,0,1,3034
k4-r1,k4,r1,13,100,2340,2,1,0,6,0,1,3559
k4-r1,k4,r1,14,110,2776,2,1,0,7,0,1,3789
k4-r2,k4,r2,1,0,877,2,1,0,1,0,0,801
k4-r2,k4,r2,2,0,878,2,1,0,1,0,0,876
k4-r2,k4,r2,3,0,877,2,1,0,1,0,0,862
k4-r2,k4,r2,4,0,876,2,1,0,1,0,0,825
k4-r2,k4,r2,5,2,963,2,1,0,1,0,0,736
k4-r2,k4,r2,6,3,938,2,1,0,1,0,0,945
k4-r2,k4,r2,7,6,924,2,1,0,1,0,0,858
k4-r2,k4,r2,8,6,1509,6,1,0,1,0,1,764
k4-r2,k4,r2,9,10,1826,6,1,0,2,0,1,997
k4-r2,k4,r2,10,10,1221,2,1,0,1,0,1,1905
k4-r2,k4,r2,11,12,1419,2,1,0,1,0,1,1567
k4-r2,k4,r2,12,14,1268,2,1,0,1,0,1,2241
k4-r2,k4,r2,13,18,1683,2,1,0,2,0,1,1232
k4-r2,k4,r2,14,19,1314,2,1,0,1,0,1,2560
k4-r2,k4,r2,15,26,1314,2,1,0,1,0,1,2560
k4-r2,k4,r2,16,37,1354,2,1,0,1,0,1,2480
k4-r2,k4,r2,17,41,1430,2,1,0,1,0,1,2347
k4-r2,k4,r2,18,45,1430,2,1,0,1,0,1,2347
k4-r2,k4,r2,19,46,1713,2,1,0,2,0,1,2402
k4-r2,k4,r2,20,47,1679,2,1,0,2,0,1,2427
k4-r2,k4,r2,21,52,1996,2,1,0,3,0,1,2357
k4-r2,k4,r2,22,56,3110,2,1,0,6,0,1,2353
k4-r2,k4,r2,23,60,3293,2,1,0,6,0,1,2358
k4-r2,k4,r2,24,64,3324,2,1,0,6,0,1,2386
k4-r2,k4,r2,25,68,4121,2,1,0,8,0,1,2357
k4-r2,k4,r2,26,76,5278,2,1,0,11,0,1,2041
k4-r3,k4,r3,1,0,877,2,1,0,1,0,0,801
k4-r3,k4,r3,2,0,878,2,1,0,1,0,0,876
k4-r3,k4,r3,3,0,877,2,1,0,1,0,0,862
k4-r3,k4,r3,4,0,876,2,1,0,1,0,0,825
k4-r3,k4,r3,5,4,1221,2,1,0,2,0,1,1083
k4-r3,k4,r3,6,5,1778,2,1,0,3,0,1,840
k4-r3,k4,r3,7,9,1348,2,1,0,3,0,0,1059
k4-r3,k4,r3,8,9,1799,2,1,0,3,0,1,1399
k4-r3,k4,r3,9,16,1571,2,1,0,4,0,0,1080
